Full,_1,_r,_RAJ2000,_DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag
,,arcsec,"""h:m:s""","""d:m:s""",mag,mag,mag,mag,mag,mag
1,15 41 43.2401895451 -52 52 23.240210750,0.148,15 41 43.25160,-52 52 23.1348,13.708,0.033,13.378,0.042,13.238,0.049
1,15 42 38.1624343435 -52 52 17.933422810,0.093,15 42 38.16288,-52 52 18.0264,13.282,0.036,12.93,0.052,12.761,0.055
1,15 42 48.5193101595 -52 53 28.381944311,0.102,15 42 48.52656,-52 53 28.4604,14.959,0.094,14.452,0.122,14.12,0.146
1,15 42 22.5897402988 -52 51 15.474228729,0.187,15 42 22.61040,-52 51 15.4836,12.342,0.022,11.976,0.033,11.779,0.034
1,15 41 40.8962131364 -52 50 45.894686485,0.184,15 41 40.90728,-52 50 45.7404,11.613,0.022,11.551,0.026,11.477,0.026
1,15 42 03.7075136238 -52 49 07.517234372,0.166,15 42 03.68928,-52 49 07.5072,14.79,0.049,14.121,0.047,13.832,0.06
1,15 41 55.6590353566 -52 47 34.606230557,0.057,15 41 55.66512,-52 47 34.6200,14.072,0.038,13.735,0.054,13.627,0.065
1,15 42 47.5613713179 -52 54 14.835183218,0.073,15 42 47.56944,-52 54 14.8356,14.873,0.054,14.472,0.061,14.447,0.085
1,15 41 48.4729524714 -52 47 47.595002028,0.058,15 41 48.47424,-52 47 47.6520,14.324,0.043,13.986,0.043,13.851,0.068
1,15 41 59.7626180131 -52 47 11.829852254,0.12,15 41 59.76528,-52 47 11.9472,13.325,0.027,12.943,0.03,12.807,0.032
1,15 41 40.7064502995 -52 48 29.617674252,0.124,15 41 40.71696,-52 48 29.5380,14.701,0.045,14.181,0.055,14.115,0.068
1,15 41 59.9365919137 -52 48 45.200096512,0.268,15 41 59.94984,-52 48 44.9604,14.729,0.047,14.237,0.06,13.954,0.069
1,15 42 08.7537920327 -52 50 22.778469724,0.064,15 42 08.75928,-52 50 22.8192,13.348,,12.877,,12.633,0.039
1,15 42 50.0315908178 -52 47 59.856430918,0.03,15 42 50.03424,-52 47 59.8740,14.082,0.056,13.611,0.077,13.526,0.044
1,15 42 33.5798212998 -52 44 30.776857040,0.059,15 42 33.57336,-52 44 30.7752,13.814,0.035,13.046,0.037,12.815,0.042
1,15 41 54.9863834542 -52 47 45.647144693,0.209,15 41 54.99600,-52 47 45.8376,14.777,0.044,14.284,0.051,14.06,0.063
1,15 42 39.2919929291 -52 54 36.644332550,0.06,15 42 39.28920,-52 54 36.6984,15.039,0.069,14.477,0.072,14.294,
1,15 42 49.9524661723 -52 46 14.246209682,1.74,15 42 50.09400,-52 46 15.4200,10.892,0.029,9.481,0.03,8.836,0.023
1,15 41 45.2259553355 -52 49 02.549500693,0.194,15 41 45.23712,-52 49 02.3844,13.996,0.039,13.593,0.052,13.564,0.053
1,15 41 59.7746409957 -52 48 26.769975597,0.164,15 41 59.77968,-52 48 26.9280,15.388,0.065,14.645,0.059,14.529,0.085
1,15 41 55.7658173563 -52 44 06.758518571,0.112,15 41 55.75920,-52 44 06.8532,15.155,0.049,14.484,0.052,14.454,0.084
