Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
1,15:42:46.75 -52:48:20.46,0.896,15 42 46.8576985498,-52 48 20.376640571,0.2848,0.0717,16.0685,0.0007
1,15:41:52.25 -52:43:56.48,1.484,15 41 52.4235586543,-52 43 56.673184951,0.0641,0.1103,16.6232,0.0007
2,15:41:52.25 -52:43:56.48,1.648,15 41 52.0725454473,-52 43 56.181626167,1.6673,0.5898,19.8481,0.0059
1,15:42:51.32 -52:50:09.96,1.623,15 42 51.4868752291,-52 50 10.541674179,0.2934,0.0838,16.5701,0.0007
1,15:41:59.07 -52:54:53.02,1.273,15 41 59.2158083745,-52 54 53.121306962,0.3294,0.0849,15.9169,0.0007
1,15:41:47.57 -52:43:48.40,0.271,15 41 47.6105140993,-52 43 48.444429138,2.1763,0.0277,13.3079,0.0002
1,15:42:21.05 -52:53:39.71,1.178,15 42 21.1676410533,-52 53 40.196010394,0.2217,0.1496,18.1506,0.0014
1,15:42:03.36 -52:54:10.02,0.422,15 42 03.3635517234,-52 54 09.570489731,0.4786,0.0806,17.0609,0.0008
1,15:42:34.61 -52:53:44.79,1.149,15 42 34.7378291593,-52 53 45.054727153,0.3183,0.0838,16.1674,0.0008
1,15:41:53.07 -52:46:31.77,1.075,15 41 53.1792826847,-52 46 32.143367040,0.3867,0.0639,15.712,0.0006
1,15:41:56.15 -52:46:40.87,0.955,15 41 56.2603865683,-52 46 40.781307981,0.4356,0.122,17.6507,0.0011
1,15:42:52.39 -52:43:53.21,1.268,15 42 52.5391975261,-52 43 53.007585973,0.5417,0.0333,14.7601,0.0003
1,15:42:01.21 -52:48:41.43,0.954,15 42 01.3229373723,-52 48 41.355020100,0.3046,0.0713,16.4639,0.0007
1,15:42:42.40 -52:54:25.38,1.413,15 42 42.5314054825,-52 54 26.045540444,0.2778,0.0903,16.4884,0.0008
1,15:42:47.71 -52:49:26.07,1.036,15 42 47.8312302811,-52 49 26.237012050,0.2783,0.115,15.9402,0.0008
1,15:42:07.27 -52:52:06.04,1.266,15 42 07.3198376943,-52 52 07.182902948,0.0834,0.1255,16.4035,0.0015
2,15:42:07.27 -52:52:06.04,1.542,15 42 07.4460992136,-52 52 05.964180191,0.5709,0.0592,15.5922,0.0007
1,15:42:04.46 -52:45:10.41,0.821,15 42 04.5386996727,-52 45 10.805980750,1.6812,0.029,13.9756,0.0003
1,15:42:11.12 -52:45:58.21,1.071,15 42 11.2239122397,-52 45 58.793929626,0.0945,0.1155,16.5101,0.0008
1,15:41:52.87 -52:50:42.77,0.547,15 41 52.9272796184,-52 50 43.037109391,0.4592,0.092,16.7506,0.0007
1,15:42:37.02 -52:43:45.15,0.744,15 42 37.1146469181,-52 43 45.206295921,0.2252,0.1095,17.3302,0.001
1,15:41:57.58 -52:46:38.66,0.88,15 41 57.6811776028,-52 46 38.614865083,0.3195,0.1128,17.5917,0.0011
1,15:42:49.65 -52:46:43.19,1.021,15 42 49.7662642715,-52 46 43.327046981,0.2797,0.0877,16.4457,0.0008
1,15:41:41.84 -52:49:44.57,0.792,15 41 41.9297913860,-52 49 44.704376379,0.4552,0.0861,13.4047,0.0008
1,15:42:04.49 -52:51:02.78,0.705,15 42 04.5756138338,-52 51 02.886595784,0.2596,0.0802,16.1807,0.0007
1,15:42:14.90 -52:51:56.91,1.398,15 42 15.0431884247,-52 51 57.439438569,0.267,0.0753,15.7008,0.0007
1,15:42:02.61 -52:45:42.18,1.001,15 42 02.7296473546,-52 45 42.069734381,0.3287,0.088,16.2825,0.0007
1,15:42:12.91 -52:45:02.46,0.582,15 42 12.9819132318,-52 45 02.444237699,0.3035,0.1501,17.5448,0.0011
1,15:42:52.25 -52:45:18.47,0.903,15 42 52.3538366810,-52 45 18.673880867,0.4066,0.1413,17.7922,0.0013
1,15:41:43.87 -52:51:17.90,0.971,15 41 43.9763830181,-52 51 18.131902217,0.2044,0.0742,16.9079,0.0008
1,15:42:49.07 -52:54:09.30,1.225,15 42 49.1955434809,-52 54 09.838211843,0.365,0.0781,16.0522,0.0007
1,15:42:10.98 -52:51:04.77,1.08,15 42 11.1012111694,-52 51 04.954012568,0.4875,0.0572,15.5826,0.0005
1,15:41:49.24 -52:48:29.67,1.044,15 41 49.3376861546,-52 48 30.270892609,0.2835,0.0756,15.425,0.0005
