MAIN_ID,ra,dec
----,,
348,15:41:43.16,-52:52:22.76
67,15:42:38.02,-52:52:17.65
23,15:42:48.39,-52:53:27.65
126,15:42:22.46,-52:51:15.31
359,15:41:40.85,-52:50:45.91
210,15:42:03.61,-52:49:07.38
267,15:41:55.58,-52:47:34.32
28,15:42:47.44,-52:54:14.00
309,15:41:48.39,-52:47:47.66
230,15:41:59.65,-52:47:11.94
361,15:41:40.57,-52:48:29.92
228,15:41:59.81,-52:48:45.09
177,15:42:08.63,-52:50:22.41
12,15:42:49.95,-52:47:59.75
82,15:42:33.50,-52:44:30.69
231,15:41:59.57,-52:44:28.22
272,15:41:54.86,-52:47:45.44
63,15:42:39.19,-52:54:36.30
13,15:42:49.89,-52:46:14.63
330,15:41:45.13,-52:49:02.03
232,15:41:59.67,-52:48:26.88
271,15:41:55.70,-52:44:06.63
362,15:41:40.16,-52:46:22.14
303,15:41:49.74,-52:47:16.87
37,15:42:44.89,-52:54:01.09
341,15:41:44.10,-52:50:10.70
43,15:42:44.15,-52:54:06.79
365,15:41:39.28,-52:44:02.39
192,15:42:05.78,-52:52:04.55
122,15:42:23.47,-52:46:48.95
196,15:42:04.99,-52:51:55.67
40,15:42:44.25,-52:49:37.05
275,15:41:53.84,-52:43:42.64
24,15:42:47.77,-52:47:25.44
344,15:41:43.90,-52:53:03.37
194,15:42:05.47,-52:53:15.10
270,15:41:54.92,-52:46:25.55
221,15:42:01.55,-52:52:47.65
17,15:42:49.33,-52:45:04.59
16,15:42:49.35,-52:45:04.45
223,15:42:00.66,-52:51:30.68
224,15:42:00.42,-52:49:30.95
316,15:41:48.26,-52:53:18.62
313,15:41:48.26,-52:53:18.62
335,15:41:44.65,-52:46:05.43
181,15:42:07.76,-52:45:47.17
112,15:42:25.32,-52:51:42.53
39,15:42:44.09,-52:44:26.36
292,15:41:51.01,-52:44:45.80
296,15:41:50.97,-52:52:55.17
277,15:41:53.69,-52:49:59.97
220,15:42:02.10,-52:46:19.31
241,15:41:58.41,-52:45:53.27
342,15:41:44.15,-52:52:43.12
250,15:41:57.53,-52:48:29.21
57,15:42:40.50,-52:49:57.12
100,15:42:27.91,-52:53:37.94
324,15:41:46.95,-52:52:19.97
50,15:42:42.60,-52:52:46.42
94,15:42:28.97,-52:46:11.55
312,15:41:48.34,-52:52:39.81
114,15:42:25.06,-52:53:03.88
301,15:41:50.29,-52:49:56.42
146,15:42:16.21,-52:50:12.47
190,15:42:05.89,-52:49:21.72
291,15:41:51.33,-52:47:09.50
325,15:41:46.64,-52:53:24.45
287,15:41:51.48,-52:47:12.15
30,15:42:46.51,-52:48:13.12
90,15:42:29.54,-52:45:22.72
142,15:42:18.40,-52:45:08.17
191,15:42:05.56,-52:45:41.12
172,15:42:10.45,-52:49:36.59
263,15:41:56.13,-52:47:25.10
326,15:41:46.43,-52:51:16.46
268,15:41:55.35,-52:50:35.63
283,15:41:52.49,-52:47:26.68
347,15:41:43.93,-52:47:25.54
79,15:42:34.37,-52:51:53.65
337,15:41:44.60,-52:53:07.69
338,15:41:44.59,-52:53:07.69
64,15:42:38.76,-52:50:06.93
180,15:42:07.87,-52:45:50.30
61,15:42:39.01,-52:49:57.18
35,15:42:44.94,-52:53:34.80
207,15:42:04.00,-52:54:48.69
