Full,_1,_r,_RAJ2000,_DEJ2000,Bmag,e_,Vmag,e_,gmag,e_,rmag,e_,imag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mag,cmag,mag,cmag,mag,cmag,mag,cmag,mag,cmag
1,15 41 43.2401895451 -52 52 23.240210750,0.016,15 41 43.240248,-52 52 23.25612,,,,,,,,,,
1,15 42 38.1624343435 -52 52 17.933422810,0.05,15 42 38.164536,-52 52 17.97924,15.81,5,15.009,2,15.394,2,14.706,0,,
1,15 42 22.5897402988 -52 51 15.474228729,0.046,15 42 22.585488,-52 51 15.50016,15.607,3,14.606,1,,,,,,
1,15 41 40.8962131364 -52 50 45.894686485,0.012,15 41 40.897488,-52 50 45.89916,12.551,2,12.263,4,12.346,2,12.222,1,12.193,5
1,15 41 55.6590353566 -52 47 34.606230557,0.079,15 41 55.652544,-52 47 34.55412,,,,,,,,,,
1,15 41 48.4729524714 -52 47 47.595002028,0.015,15 41 48.473592,-52 47 47.58108,,,,,,,,,,
1,15 41 59.7626180131 -52 47 11.829852254,0.088,15 41 59.766216,-52 47 11.74812,16.359,5,15.501,1,15.965,6,15.097,6,14.827,28
1,15 42 08.7537920327 -52 50 22.778469724,0.087,15 42 08.762616,-52 50 22.81200,,,,,,,,,,
1,15 42 50.0315908178 -52 47 59.856430918,0.131,15 42 50.019960,-52 47 59.93412,17.102,10,16.094,1,16.637,1,15.74,1,15.283,1
1,15 42 33.5798212998 -52 44 30.776857040,0.273,15 42 33.551664,-52 44 30.68016,,,,,,,,,,
1,15 41 54.9863834542 -52 47 45.647144693,0.172,15 41 55.000176,-52 47 45.76524,,,,,,,,,,
1,15 42 49.9524661723 -52 46 14.246209682,0.325,15 42 49.950360,-52 46 14.57112,,,,,,,,,,
1,15 41 45.2259553355 -52 49 02.549500693,0.06,15 41 45.224760,-52 49 02.60832,,,,,,,,,,
1,15 42 44.2474033039 -52 54 07.378541353,0.22,15 42 44.255232,-52 54 07.17012,,,,,,,,,,
1,15 41 39.4201153632 -52 44 02.850823019,0.13,15 41 39.429264,-52 44 02.75028,,,,,,,,,,
1,15 42 05.8960554107 -52 52 05.431300416,0.013,15 42 05.897304,-52 52 05.42532,14.028,3,12.691,2,13.342,3,12.152,2,11.618,5
1,15 42 44.3505695183 -52 49 37.321026029,0.015,15 42 44.350608,-52 49 37.33608,,,,,,,,,,
1,15 41 53.9756498978 -52 43 42.467260536,0.034,15 41 53.978352,-52 43 42.44304,16.701,7,15.656,1,16.183,1,15.206,1,14.925,1
1,15 42 47.7811865551 -52 47 25.451798432,0.094,15 42 47.791008,-52 47 25.48212,16.648,6,15.68,1,16.284,1,15.221,1,,
1,15 41 43.9726702949 -52 53 03.808349392,0.049,15 41 43.977960,-52 53 03.81804,16.124,16,15.047,0,15.59,2,14.602,1,14.268,1
1,15 42 05.5756610188 -52 53 15.350125960,0.054,15 42 05.579808,-52 53 15.38916,,,,,,,,,,
1,15 41 55.0412454213 -52 46 25.736837786,0.068,15 41 55.033776,-52 46 25.74624,16.115,4,15.259,1,15.674,1,14.998,1,,
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.491048,-52 45 04.19616,15.826,3,14.914,1,15.417,1,14.578,1,14.027,1
1,15 42 49.4885973267 -52 45 04.192999015,0.022,15 42 49.491048,-52 45 04.19616,15.826,3,14.914,1,15.417,1,14.578,1,14.027,1
